n,c,k,t_tot,dt_prim,dt_sec,mean_t_sec,dev_t_sec,m_tot,dm_prim,dm_sec,mean_m_sec,dev_m_sec
1000000,1.000000,7.434343,10052766,2576103.000000,7476663.000000,7.476663,51.019638,63998472.000000,56000000.000000,7998472.000000,7.998472,13.273764
1000000,1.000000,7.505051,10666220,2656876.000000,8009344.000000,8.009344,48.611886,63988912.000000,56000000.000000,7988912.000000,7.988912,13.221348
1000000,1.000000,7.363636,10230745,2454478.000000,7776267.000000,7.776267,41.546610,63995624.000000,56000000.000000,7995624.000000,7.995624,13.204194
1000000,1.000000,7.292929,9502401,2440190.000000,7062211.000000,7.062211,54.406067,63998272.000000,56000000.000000,7998272.000000,7.998272,13.256166
1000000,1.000000,7.222222,9415168,2362463.000000,7052705.000000,7.052705,42.890040,63995376.000000,56000000.000000,7995376.000000,7.995376,13.236939
1000000,1.000000,7.151515,8743933,2302197.000000,6441736.000000,6.441736,21.646532,63999248.000000,56000000.000000,7999248.000000,7.999248,13.254848
1000000,1.000000,7.080808,9070150,2395409.000000,6674741.000000,6.674741,29.826767,64005784.000000,56000000.000000,8005784.000000,8.005784,13.295420
1000000,1.000000,7.010101,9865069,2516677.000000,7348392.000000,7.348392,48.303550,63988736.000000,56000000.000000,7988736.000000,7.988736,13.167733
1000000,1.000000,6.939394,9384735,2365971.000000,7018764.000000,7.018764,39.365962,63990280.000000,56000000.000000,7990280.000000,7.990280,13.230875
1000000,1.000000,6.868687,8605229,2323907.000000,6281322.000000,6.281322,24.215294,63997424.000000,56000000.000000,7997424.000000,7.997424,13.283260
1000000,1.000000,6.797980,9539995,2454473.000000,7085522.000000,7.085522,33.044034,64000272.000000,56000000.000000,8000272.000000,8.000272,13.278764
1000000,1.000000,6.727273,10204618,2517727.000000,7686891.000000,7.686891,41.117000,63998720.000000,56000000.000000,7998720.000000,7.998720,13.235293
1000000,1.000000,6.656566,10193805,2515950.000000,7677855.000000,7.677855,47.290627,64000512.000000,56000000.000000,8000512.000000,8.000512,13.291561
1000000,1.000000,6.585859,9704823,2448320.000000,7256503.000000,7.256503,26.831463,63996624.000000,56000000.000000,7996624.000000,7.996624,13.244936
1000000,1.000000,6.515152,9556072,2498498.000000,7057574.000000,7.057574,48.723225,64006752.000000,56000000.000000,8006752.000000,8.006752,13.295856
1000000,1.000000,6.444444,10608130,2562157.000000,8045973.000000,8.045973,46.136282,67985448.000000,56000000.000000,11985448.000000,11.985448,24.613595
1000000,1.000000,6.373737,9814258,2457550.000000,7356708.000000,7.356708,27.838564,63988448.000000,56000000.000000,7988448.000000,7.988448,13.243678
1000000,1.000000,6.303030,10310274,2512415.000000,7797859.000000,7.797859,36.640199,63996744.000000,56000000.000000,7996744.000000,7.996744,13.251744
1000000,1.000000,6.232323,9675521,2393066.000000,7282455.000000,7.282455,22.246433,63992440.000000,56000000.000000,7992440.000000,7.992440,13.227517
1000000,1.000000,6.161616,10496064,2473693.000000,8022371.000000,8.022371,34.931335,67992984.000000,56000000.000000,11992984.000000,11.992984,24.618158
1000000,1.000000,6.090909,9768298,2493545.000000,7274753.000000,7.274753,25.461667,63998336.000000,56000000.000000,7998336.000000,7.998336,13.269601
1000000,1.000000,6.020202,10968314,2660625.000000,8307689.000000,8.307689,49.116299,64000776.000000,56000000.000000,8000776.000000,8.000776,13.272925
1000000,1.000000,5.949495,10250190,2508280.000000,7741910.000000,7.741910,23.118546,64003128.000000,56000000.000000,8003128.000000,8.003128,13.272071
1000000,1.000000,5.878788,10144131,2569613.000000,7574518.000000,7.574518,45.648523,63996280.000000,56000000.000000,7996280.000000,7.996280,13.244947
1000000,1.000000,5.808081,10420597,2537114.000000,7883483.000000,7.883483,25.521744,64001856.000000,56000000.000000,8001856.000000,8.001856,13.285457
1000000,1.000000,5.737374,10234943,2504632.000000,7730311.000000,7.730311,28.377584,63990880.000000,56000000.000000,7990880.000000,7.990880,13.228521
1000000,1.000000,5.666667,10353712,2531247.000000,7822465.000000,7.822465,35.618044,63994000.000000,56000000.000000,7994000.000000,7.994000,13.227420
1000000,1.000000,5.595960,9835864,2493572.000000,7342292.000000,7.342292,32.932014,63999752.000000,56000000.000000,7999752.000000,7.999752,13.284629
1000000,1.000000,5.525253,10234818,2516202.000000,7718616.000000,7.718616,42.220253,64004120.000000,56000000.000000,8004120.000000,8.004120,13.305857
1000000,1.000000,5.454545,10321929,2451400.000000,7870529.000000,7.870529,35.761429,68000608.000000,56000000.000000,12000608.000000,12.000608,24.609238
1000000,1.000000,5.383838,9547184,2364635.000000,7182549.000000,7.182549,19.985457,63991624.000000,56000000.000000,7991624.000000,7.991624,13.245300
1000000,1.000000,5.313131,9956001,2453608.000000,7502393.000000,7.502393,33.522874,63995040.000000,56000000.000000,7995040.000000,7.995040,13.235670
1000000,1.000000,5.242424,9830011,2504959.000000,7325052.000000,7.325052,58.806035,63997512.000000,56000000.000000,7997512.000000,7.997512,13.271637
1000000,1.000000,5.171717,9426616,2436098.000000,6990518.000000,6.990518,46.577088,64004416.000000,56000000.000000,8004416.000000,8.004416,13.277512
1000000,1.000000,5.101010,10152595,2515414.000000,7637181.000000,7.637181,73.917498,63996784.000000,56000000.000000,7996784.000000,7.996784,13.248719
1000000,1.000000,5.030303,9857358,2541380.000000,7315978.000000,7.315978,38.232751,63999544.000000,56000000.000000,7999544.000000,7.999544,13.275499
1000000,1.000000,4.959596,9720989,2416103.000000,7304886.000000,7.304886,40.195522,67996424.000000,56000000.000000,11996424.000000,11.996424,24.632792
1000000,1.000000,4.888889,9510328,2473506.000000,7036822.000000,7.036822,25.390076,63996544.000000,56000000.000000,7996544.000000,7.996544,13.271329
1000000,1.000000,4.818182,10662798,2597685.000000,8065113.000000,8.065113,34.414058,64003800.000000,56000000.000000,8003800.000000,8.003800,13.288314
1000000,1.000000,4.747475,10883204,2615773.000000,8267431.000000,8.267431,44.680683,64001048.000000,56000000.000000,8001048.000000,8.001048,13.298129
1000000,1.000000,4.676768,10153671,2489063.000000,7664608.000000,7.664608,37.209145,64003464.000000,56000000.000000,8003464.000000,8.003464,13.275831
1000000,1.000000,4.606061,9396442,2370699.000000,7025743.000000,7.025743,26.897985,63991600.000000,56000000.000000,7991600.000000,7.991600,13.253578
1000000,1.000000,4.535354,10148673,2491420.000000,7657253.000000,7.657253,33.906097,67992552.000000,56000000.000000,11992552.000000,11.992552,24.598289
1000000,1.000000,4.464646,10212592,2614629.000000,7597963.000000,7.597963,38.931206,63994224.000000,56000000.000000,7994224.000000,7.994224,13.266879
1000000,1.000000,4.393939,9644617,2505947.000000,7138670.000000,7.138670,58.635872,63998624.000000,56000000.000000,7998624.000000,7.998624,13.263110
1000000,1.000000,4.323232,9146467,2477061.000000,6669406.000000,6.669406,34.340580,64001200.000000,56000000.000000,8001200.000000,8.001200,13.272516
1000000,1.000000,4.252525,10521542,2550401.000000,7971141.000000,7.971141,39.973457,64011656.000000,56000000.000000,8011656.000000,8.011656,13.295849
1000000,1.000000,4.181818,9367241,2492277.000000,6874964.000000,6.874964,30.848011,63988504.000000,56000000.000000,7988504.000000,7.988504,13.214466
1000000,1.000000,4.111111,9881010,2523255.000000,7357755.000000,7.357755,30.001750,64002048.000000,56000000.000000,8002048.000000,8.002048,13.286699
1000000,1.000000,4.040404,10459890,2553801.000000,7906089.000000,7.906089,36.313919,63993248.000000,56000000.000000,7993248.000000,7.993248,13.256433
1000000,1.000000,3.969697,9972787,2523521.000000,7449266.000000,7.449266,42.498158,63993672.000000,56000000.000000,7993672.000000,7.993672,13.242170
1000000,1.000000,3.898990,10023166,2590360.000000,7432806.000000,7.432806,34.423722,64002392.000000,56000000.000000,8002392.000000,8.002392,13.282475
1000000,1.000000,3.828283,9539872,2505551.000000,7034321.000000,7.034321,38.450656,63992776.000000,56000000.000000,7992776.000000,7.992776,13.223757
1000000,1.000000,3.757576,9838971,2499562.000000,7339409.000000,7.339409,55.095091,63995376.000000,56000000.000000,7995376.000000,7.995376,13.267386
