n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
10000000, 1.000000, 4.208333, 86666741, 25312215.000000, 61354526.000000, 6.135453, 37.210663, 639890152.000000, 560000000.000000, 79890152.000000, 7.989015, 13.220217
10000000, 2.375000, 3.625000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 3.625000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.125000, 3.625000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.000000, 3.625000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 3.625000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.000000, 6.833333, 86603139, 24793319.000000, 61809820.000000, 6.180982, 38.177406, 639880248.000000, 560000000.000000, 79880248.000000, 7.988025, 13.210264
10000000, 4.000000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 3.916667, 87777903, 24934770.000000, 62843133.000000, 6.284313, 30.149951, 715624408.000000, 560000000.000000, 155624408.000000, 15.562441, 25.038942
10000000, 1.625000, 3.916667, 87983136, 25070791.000000, 62912345.000000, 6.291234, 38.034549, 700013248.000000, 560000000.000000, 140013248.000000, 14.001325, 21.794426
10000000, 1.750000, 3.916667, 89588854, 25454852.000000, 64134002.000000, 6.413400, 39.303750, 704170128.000000, 560000000.000000, 144170128.000000, 14.417013, 23.184230
10000000, 1.250000, 3.916667, 85714153, 24336582.000000, 61377571.000000, 6.137757, 29.365135, 672840220.000000, 560000000.000000, 112840220.000000, 11.284022, 16.707685
10000000, 1.375000, 3.916667, 88340838, 24595327.000000, 63745511.000000, 6.374551, 41.845197, 684392144.000000, 560000000.000000, 124392144.000000, 12.439214, 18.554496
10000000, 3.500000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.125000, 3.916667, 89179960, 24923265.000000, 64256695.000000, 6.425669, 41.804429, 668722100.000000, 560000000.000000, 108722100.000000, 10.872210, 15.327455
10000000, 3.000000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
